"iteration","state","psi","randomNumber1","randomNumber2","epsilon","a","r","W"
255,"row10col6",0.377353602535,0.298583933418,0.273036367655,0.581879664781,"North",0.0,0.0
256,"row9col6",0.358485922409,0.354286297428,0.273036367655,0.581879664781,"North",0.0,0.0
257,"row8col6",0.340561626288,0.687226724789,0.221835069898,0.641514077591,"South",0.0,0.0
258,"row9col6",0.323533544974,0.422486745438,0.625831788156,0.659438373712,"East",0.0,0.0
259,"row9col6",0.307356867725,0.847435909079,0.18653434252,0.676466455026,"South",0.0,0.0
260,"row10col6",0.291989024339,0.518090376881,0.636065254083,0.692643132275,"South",0.0,0.0
261,"row11col6",0.277389573122,0.402725655562,0.954238703638,0.708010975661,"West",0.0,0.0
262,"row11col5",0.263520094466,0.0990372056909,0.954238703638,0.708010975661,"East",0.0,0.0
263,"row11col6",0.250344089742,0.639544548569,0.439000060964,0.736479905534,"West",0.0,0.0
264,"row11col5",0.237826885255,0.496744299919,0.627412512126,0.749655910258,"West",0.0,0.0
265,"row11col4",0.225935540993,0.536761316311,0.954615496077,0.762173114745,"West",0.0,0.0
266,"row11col3",0.214638763943,0.538190154034,0.702926212536,0.774064459007,"North",0.0,0.0
267,"row10col3",0.203906825746,0.710421499473,0.211052965855,0.785361236057,"North",0.0,0.0
268,"row10col3",0.193711484459,0.486212929013,0.459680149437,0.796093174254,"East",0.0,0.0
269,"row10col3",0.184025910236,0.620222286747,0.108014813037,0.806288515541,"West",0.0,0.0
270,"row10col2",0.174824614724,0.721116756865,0.658694758703,0.815974089764,"North",0.0,0.0
271,"row10col2",0.166083383988,0.307549666051,0.430218245375,0.825175385276,"North",0.0,0.0
272,"row10col2",0.157779214788,0.195642197388,0.807761242394,0.833916616012,"North",0.0,0.0
273,"row10col2",0.149890254049,0.647473602962,0.690463092049,0.842220785212,"East",0.0,0.0
274,"row10col3",0.142395741346,0.388143861724,0.859570960201,0.850109745951,"South",0.0,0.0
275,"row11col3",0.135275954279,0.882676495872,0.40812719648,0.857604258654,"East",0.0,0.0
276,"row11col4",0.128512156565,0.831082885094,0.996045219496,0.864724045721,"North",0.0,0.0
277,"row11col4",0.122086548737,0.457712606357,0.185814136955,0.871487843435,"North",0.0,0.0
278,"row11col4",0.1159822213,0.29833296605,0.331328927092,0.877913451263,"North",0.0,0.0
279,"row11col4",0.110183110235,0.494043069812,0.913204160686,0.8840177787,"East",0.0,0.0
280,"row11col5",0.104673954723,0.0916182295537,0.913204160686,0.8840177787,"East",0.0,0.0
281,"row11col6",0.0994402569871,0.65325873249,0.29662093286,0.895326045277,"North",0.0,0.0
282,"row10col6",0.0944682441377,0.414280315888,0.282890295281,0.900559743013,"East",0.0,0.0
283,"row10col6",0.0897448319309,0.431624951175,0.440497029759,0.905531755862,"West",0.0,0.0
284,"row10col5",0.0852575903343,0.431167912574,0.346378523462,0.910255168069,"East",0.0,0.0
285,"row10col6",0.0809947108176,0.790017528461,0.9394151144,0.914742409666,"South",0.0,0.0
286,"row11col6",0.0769449752767,0.369737633181,0.922610761898,0.919005289182,"East",0.0,0.0
287,"row11col6",0.0730977265129,0.757285878767,0.922069277479,0.923055024723,"South",0.0,0.0
288,"row12col6",0.0694428401872,0.475369245763,0.0571254727914,0.926902273487,"East",0.0,0.0
289,"row12col6",0.0659706981779,0.480367106059,0.987607548977,0.930557159813,"West",0.0,0.0
290,"row12col5",0.062672163269,0.362595473516,0.788176037233,0.934029301822,"West",0.0,0.0
291,"row12col5",0.0595385551055,0.289832272108,0.687342566025,0.937327836731,"North",0.0,0.0
292,"row11col5",0.0565616273503,0.778093562127,0.694535854246,0.940461444894,"West",0.0,0.0
293,"row11col4",0.0537335459827,0.739680242553,0.611025718432,0.94343837265,"West",0.0,0.0
294,"row11col3",0.0510468686836,0.140291697714,0.220359587927,0.946266454017,"South",0.0,0.0
295,"row12col3",0.0484945252494,0.565258538795,0.528322147287,0.948953131316,"East",0.0,0.0
296,"row12col3",0.046069798987,0.918598887343,0.588017183512,0.951505474751,"East",0.0,0.0
